date,category_id,category,headline,articles,url
2020-01-01,0,opinion,Protect Veterans From Fraud,congress could do much more to protect americans who have served their country from predatory forprofit colleges,https://www.nytimes.com/2019/12/31/opinion/for-profit-college-veterans.html
2020-01-01,1,world,Hospitals and Schools Are Being Bombed in Syria. A U.N. Inquiry Is Limited. We Took a Deeper Look.,attacks on civilian sites in syria have grown so frequent that the un launched a rare inquiry to document the violations but the investigation is limited in scope and the final report may not be made public the new york times did its own inves,https://www.nytimes.com/interactive/2019/12/31/world/middleeast/syria-united-nations-investigation.html
2020-01-01,1,world,Hong Kong Protesters Return to Streets as New Year Begins,weeks of relative calm ended on wednesday as people marched in large numbers and the police deployed tear gas and pepper spray,https://www.nytimes.com/2020/01/01/world/asia/hong-kong-protest.html
2020-01-01,2,politics,Dizzying Day for Trump Caps a Year Full of Them,the president monitored a middle east crisis from his golf club threatened iran and implored reporters to be honorable in 2020,https://www.nytimes.com/2019/12/31/us/politics/trump-new-years-eve.html
2020-01-01,3,arts,What’s on TV Wednesday: A Linda Ronstadt Doc and ‘Doctor Who’,linda ronstadt the sound of my voice airs on cnn and a new season of doctor who kicks off on bbc america,https://www.nytimes.com/2020/01/01/arts/television/whats-on-tv-wednesday-a-linda-ronstadt-doc-and-doctor-who.html
2020-01-01,1,world,How the U.S. Embassy in Iraq Became a Target,after months of turmoil in iraq us airstrikes against a proiranian militia drew a backlash,https://www.nytimes.com/2020/01/01/world/middleeast/iraq-embassy-iran.html
2020-01-01,4,business,10 Electric Vehicles to Watch,sales doubled in 2019 but the industrys tipping point  severing ties to the gas pump  still lies ahead these cars will help make that happen,https://www.nytimes.com/2020/01/01/business/future-electric-cars-2020.html
2020-01-01,1,world,Why the Fires in Australia Are So Bad,bush fire season is nothing new to australians but this summer has been calamitous  and its far from over,https://www.nytimes.com/2020/01/01/world/australia/fires.html
2020-01-01,1,world,Pro-Iranian Protesters End Siege of U.S. Embassy in Baghdad,irans ability to deploy militias to attack the american embassy with iraqi support made clear how much power it wields in iraq,https://www.nytimes.com/2020/01/01/world/middleeast/us-embassy-baghdad-iraq.html
2020-01-01,3,arts,Couture Creations for Dancing Bodies,an exhibition at the centre national du costume de scène in france considers the dialogue between the stage and the runway,https://www.nytimes.com/2020/01/01/arts/dance/costumes-couturiers-de-la-danse.html
2020-01-01,2,politics,Elizabeth Warren Isn’t Talking Much About ‘Medicare for All’ Anymore,there are signs her campaign is seeking to calm fears about her health care proposal including having small meetings with rural iowa voters to explain her financing and transition plans,https://www.nytimes.com/2020/01/01/us/politics/elizabeth-warren-medicare-for-all.html
2020-01-01,4,business,China Moves to Steady Its Slowing Economic Growth,the countrys central bank will in effect inject 115 billion into the financial system despite signs the economy has been improving,https://www.nytimes.com/2020/01/01/business/economy/china-economy-reserve-requirement-ratio.html
2020-01-01,2,politics,Pete Buttigieg’s Campaign Says It Raised $24.7 Million in the Fourth Quarter,mr buttigieg who appears in strong position in iowa with a month until the caucuses continues to show fundraising strength,https://www.nytimes.com/2020/01/01/us/politics/pete-buttigieg-fundraising.html
