category_id,category,articles
0,opinion,congress  much protect american served country predatory profit college
1,world,attack civilian site syria grown frequent u n launch rare inquiry document violation investigation limit scope final report  make public new york time inves
1,world,week relative calm end wednesday people march large number police deploy  gas pepper spray
2,politics,president monitor middle east crisis golf club threaten iran implored reporter honorable 
3,arts,linda ronstadt sound voice air cnn new season doctor kick bbc america
1,world,month turmoil iraq u airstrikes pro iranian militia draw backlash
4,business,sale double  industry tip point sever tie gas pump still lie ahead car help make happen
1,world,bush fire season nothing new australian summer calamitous far
1,world,iran ability deploy militia attack american embassy iraqi support make clear much power wields iraq
3,arts,exhibition centre national du costume   france considers dialogue stage runway
2,politics,sign campaign seek calm fear health care proposal include small meeting rural iowa voter explain finance transition plan
4,business,country central bank effect inject   financial system  sign economy improve
2,politics,mr buttigieg appear strong position iowa month caucus continue show fund raising strength
4,business,ical era co founder rifle paper co seller stationery home good still rely physical planner drive
1,world,almost hire  year old help  official write
1,world,election impeachment trial pending united state north korea leader add element caution threat shock action
1,world,official say several gun find penitentiary
1,world,request parliament rare move potentially unpopular  head general election  keep israeli leader court
1,world,pontiff greet member public new year eve  woman grab hand video incident share widely online
5,sports,break crystal roundball almost fearless prediction  b 
0,opinion,kim jong un restart dance death america
1,world,blaze burn primate enclosure kill least  animal  woman tell police sorry use fly lantern new year eve
0,opinion,promote woman role mean denigrate men reader say
0,opinion,reader offer different view earn money rummage trash bag collect recyclables
0,opinion,reader offer suggestion revamp primary process response column david leonhardt
4,business,brooklyn wine bar restaurant  handful establishment different city try eliminate waste premise
2,politics,president assume economic lever  guide country national interest confronts twin challenge election year
3,arts,company prima donna show past present future artistry act  puccini opera
3,arts,deftly manipulate electronic image produce otherworldly sometimes jar vision also found wife landmark performance space
1,world,mr abed give job senior executive multinational company start brac saw native land bangladesh devastate war
1,world,successive government fail address risk pose age building shoddy construction leave million vulnerable
0,opinion,survive internet  go easy
0,opinion,write book together
0,opinion,retaliation iran back militia set anti american protest  strengthen iran hand
5,sports,marketing vision turn world premier professional basketball league global brand big star ambassador
0,opinion,show support true spirit new york
5,sports,stern visionary understood  athlete seek power sport commissioner try stop effort use advantage
2,politics,pete buttigieg rise prominence viability presidential candidate mayor south bend ind tenure end
2,politics,meet president volodymyr zelensky ukraine  first top trump official  impeachment inquiry begin
0,opinion,bad show low flow
0,opinion,swine fever devastate china stock unsound governance even sound regulation perverse effect
5,sports,longtime commissioner receive acclaim building league vital global business also center contentious dispute
5,sports,duck manage   yard total offense few team rise bowl  
1,world, north include new delhi plunging temperature cause run shelter region use extreme heat
1,world,month talk sebastian kurz conservative progressive green agree coalition  harbinger rest europe
3,arts,drama base miraculous  incident air hbo lifetime air follow much view r kelly documentary series
1,world,helicopter carry military personnel event northeastern taiwan go wooded mountainside
3,arts,new lifetime series examine criminal charge singer accuse change life woman come forward
5,sports,stern know fierce negotiator considerate racial implication oversee mostly black league  also face criticism decision
1,world,least  people kill intense rain strike jakarta country capital  record keep begin
0,opinion,coincidence politics mental health decline rapidly time
0,opinion,exist defense stop weapon everyone want
0,opinion,trump administration seek undermine key protection unlawful detention
3,arts,baroness watercolor jasper john crosshatch survey abstract photography alice miceli radiograph chernobyl
2,politics,donation mr yang fourth quarter  high period put  top fund raiser democratic presidential field
4,business,mr ghosn former nissan renault chief flee japan avoid trial arrive lebanon week
2,politics,mr sander total large  month haul disclose candidate far democratic primary race
4,business,owner steve mcqueen hero car figure price  approach   least far   father paid 
1,world,new wrinkle battle oil rich country signal president erdogan turkey aim power broker volatile region
4,business,emerge detail suggest former nissan renault chairman owe arrival lebanon escape plan grand scale
3,arts,kid actually lot
5,sports,former knick  point  rebound trail blazer fell
2,politics, castro former housing secretary mayor san antonio latino candidate race champion progressive policy find footing poll
1,world,call evacuation  southeastern coast official say next day   bad yet already catastrophic fire season
0,opinion,believe hype
3,arts,bronze silver aluminum statue idea make solid  inventive show new york reaffirm power art  dimension
1,world,court ask consider  prime ministerial candidate charge serious crime form new government rule petition premature
5,sports,halfway mark season  head coach fire st louis blue thrive reign champion
3,arts, month subscription stream service add new batch title libraries pick january
0,opinion, reader rebut op ed article critical walking first meet single brave thing ever do  writes
4,business,ten month chafe takeover network reboots producer  year deal apple tv 
2,politics,mr biden total far short haul senator bernie sander announce early thursday improvement previous quarter
4,business,fall auto titan hold early discussion movie producer audacious escape film villain japanese justice
0,opinion,reader say speak impeachment trial donald trump  show former vice president nothing hide also death publish legend sonny mehta
4,business,valuation high investor still willing hold visceral emotion drive president trump
1,world,party lose many work class voter last month election  turn unexpectedly london lawyer next leader early poll show
1,world,defense secretary mark esper issue warning american contractor kill iranian support militia say game change
3,arts,new york appeal court clear way former magazine employee claim retaliation metoo case
5,sports,suspension include  game german miss  l b conduct investigation first  game 
1,world,demonstration citizenship law sweep india account emerge mistreatment harsh tactic police state official
3,arts,guide stand improv variety show happen weekend week ahead
3,arts,guide cultural event new york city child teenager happen weekend week ahead
3,arts,guide city best classical music opera happen weekend week ahead
3,arts,guide dance performance happen weekend week ahead
3,arts,guide new art show closing soon
3,arts,guide pop rock show best live jazz happen weekend week ahead
3,arts,first museum retrospective artist fashion muse talk confect fanciful work core steel
3,arts,critic recommendation include engage new web series  return favorite  earnest filthy
1,world,police say investigate video show group men swarm  woman grabbing scream
0,opinion,strategy hard conversation
5,sports,larsen singular accomplishment perfect game  world series testament  baseball god
5,sports,soccer star return hometown last summer italy serie city change
5,sports,stern build rapport many people   dictatorial management style probably fly today
3,arts,kick  compile month  free family friendly otherwise noteworthy cultural event
0,opinion,fantasy  come true
0,opinion,already early stage climate crisis
2,politics,brace political hurricane make landfall
2,politics, house democrat join signing legal brief case certain inject divisive politics abortion  presidential race
2,politics,fund raise number fourth quarter  show unusually high number viable campaign wait winner president trump huge war chest
0,opinion,upload child genetic information public websites parent forever expose personal health data
1,world,suleimani planning attack americans  region lead  baghdad pentagon statement say iran supreme leader call vengeance
0,opinion,remain candidate emulate fighting word try win side
2,politics,day deceptively edit video spread social medium joseph r biden jr caution democratic nominee  vulnerable false information general election
1,world,mixed reaction news maj gen qassim suleimani die target strike united state baghdad international airport
2,politics,kill powerful commander islamic revolutionary guard corps certain reignite debate presidential war power
1,world,situation develop last  week
3,arts,ilana glazer planet burn hit amazon  adaptation little woman  showtime showcase
1,world,friday official state new south wale drastically expand estimate amount land risk
4,business,analyst warn airstrike iranian commander raise prospect volatility iran iraq  major oil producer
0,opinion,record fire rage country leader seem intent sending doom
4,business,detail former auto executive escape emerge japanese news medium say camera show leave tokyo home alone
0,opinion, fifty  green ping move central park pentagon
0,opinion,carry mask  morning  keep close  tell  go
0,opinion,uncertainty death  arrive make day   easy difficult appreciate
0,opinion,surveillance song turn song  sing
0,opinion,bos demand persuasive appeal deep human need share see know write
0,opinion,network tell kid dot opportunity chance connect connect large network
0,opinion,scroll photograph  kiss hand hand archaeology love piece together binary code
0,opinion,many apps download part body take tech  need gizmo breathe
4,business,ghanem al masarir satirist base london say official saudi arabia  threat life spyware infection phone
4,business,free food disappears fast think strategically trust 
0,opinion,current political climate humor course thing affected government
0,opinion,half life watch  someone
0,opinion,assassination qassim suleimani seismic event middle east
0,opinion,quick way get president stacey abrams president pete buttigieg first elect president biden
4,business,violence escalate chinese government exerts great control financial hub resident wrestle option
5,sports,juwan howard patrick ewing aaron mckie big player college n b coach help assistant hire coach experience
0,opinion,forget fad diet fitness gimmick stick basic
2,politics,wealthy liability  help get elect
0,opinion,listen ask advice hum shower always listen
0,opinion,stare parent stare window disbelief happen everyone
0,opinion,oz place everything watch nothing cancel
0,opinion, aunt  big brother indeed call big mother
0,opinion,never intend sign skeptical anyone ötzi track suit need discount
1,world,iran supreme leader ayatollah ali khamenei promise retaliation u move send troop middle east deluge threat social medium
2,politics,senator amy klobuchar campaign announce raise    fourth quarter  senator cory booker say bring   
4,business,market shake death major iranian general order president trump kill escalate tension washington tehran
1,world,image destruction escape struggle contain dozen blaze country face  worst wildfire season history
3,arts,new account standard work even cover dozen classic recording still enliven classical music
1,world,authority warn potentially bad condition weekend resident want protect home others worry danger flee
1,world,order drone strike kill iran top security commander mr trump challenge prediction  lead wide war middle east
0,opinion,trouble long standoff
4,business,electric car maker end volatile year  percent jump delivery send share new high
