date,url,headline,articles,doc_type,material_type,section,keywords,label
2020-01-01,https://www.nytimes.com/2019/12/31/us/texas-church-shooting-white-settlement.html,‘Battling a Demon’: Drifter Sought Help Before Texas Church Shooting,"The gunman who shot two parishioners at the West Freeway Church of Christ had come earlier looking for food and money, church leaders said.",article,News,,"['Churches (Buildings)', 'Murders, Attempted Murders and Homicides']",us
2020-01-01,https://www.nytimes.com/2019/12/31/opinion/for-profit-college-veterans.html,Protect Veterans From Fraud,Congress could do much more to protect Americans who have served their country from predatory for-profit colleges.,article,Editorial,,"['Veterans', 'For-Profit Schools', 'Financial Aid (Education)', 'Frauds and Swindling', 'Colleges and Universities']",opinion
2020-01-01,https://www.nytimes.com/2019/12/31/health/e-cigarettes-flavor-ban-trump.html,F.D.A. Plans to Ban Most E-Cigarette Flavors but Menthol,The tobacco and vaping industries and conservative allies intensively lobbied against a ban on popular flavored e-cigarettes.,article,News,,"['E-Cigarettes', 'Recalls and Bans of Products', 'Menthol', 'Nicotine', 'Teenagers and Adolescence', 'Regulation and Deregulation of Industry', 'Smoking and Tobacco', 'Lobbying and Lobbyists', 'United States Politics and Government', 'your-feed-healthcare']",health
2020-01-01,https://www.nytimes.com/2019/12/31/crosswords/daily-puzzle-2020-01-01.html,‘It’s Green and Slimy’,Christina Iverson and Jeff Chen ring in the New Year.,article,News,,['Crossword Puzzles'],crosswords
2020-01-01,https://www.nytimes.com/2019/12/31/pageoneplus/corrections-jan-1-2020.html,"Corrections: Jan. 1, 2020","Corrections that appeared in print on Wednesday, Jan. 1, 2020.",article,Correction,,[],us
2020-01-01,https://www.nytimes.com/2019/12/31/todayspaper/quotation-of-the-day-ex-seal-now-pitching-products-and-president.html,Quotation of the Day: Ex-SEAL Now Pitching Products and President,"Quotation of the Day for Wednesday, January 1, 2020.",article,Quote,,[],todayspaper
2020-01-01,https://www.nytimes.com/interactive/2019/12/31/world/middleeast/syria-united-nations-investigation.html,Hospitals and Schools Are Being Bombed in Syria. A U.N. Inquiry Is Limited. We Took a Deeper Look.,Attacks on civilian sites in Syria have grown so frequent that the U.N. launched a rare inquiry to document the violations. But the investigation is limited in scope and the final report may not be made public. The New York Times did its own inves...,multimedia,Interactive Feature,,"['Defense and Military Forces', 'Civilian Casualties']",world
2020-01-01,https://www.nytimes.com/2020/01/01/world/asia/hong-kong-protest.html,Hong Kong Protesters Return to Streets as New Year Begins,"Weeks of relative calm ended on Wednesday, as people marched in large numbers and the police deployed tear gas and pepper spray.",article,News,,"['Demonstrations, Protests and Riots', 'Hong Kong Protests (2019)', 'New Year']",world
2020-01-01,https://www.nytimes.com/2019/12/31/us/kevin-spacey-lawsuit-accuser.html,Kevin Spacey Accuser’s Estate Drops Sexual Assault Lawsuit,"A Los Angeles County massage therapist, who died in September, had accused Mr. Spacey of groping him and making improper advances during a 2016 massage.",article,News,,"['Sexual Harassment', 'Suits and Litigation (Civil)', 'Movies', '#MeToo Movement', 'Television', 'ACTORS AND ACTRESSES', 'Massage', 'Sex Crimes', 'Academy Awards (Oscars)', 'Golden Globes (Awards)', 'Tony Awards (Theater Awards)']",us
2020-01-01,https://www.nytimes.com/2019/12/31/us/politics/trump-new-years-eve.html,Dizzying Day for Trump Caps a Year Full of Them,"The president monitored a Middle East crisis from his golf club, threatened Iran and implored reporters to be “honorable” in 2020.",article,News,,"['United States International Relations', 'United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']",politics
2020-01-01,https://www.nytimes.com/2020/01/01/science/meteor-showers-2020.html,Meteor Showers in 2020 That Will Light Up Night Skies,"All year long, Earth passes through streams of cosmic debris. Here’s a list of major meteor showers and how to spot one.",article,News,,"['Meteors and Meteorites', 'Space and Astronomy', 'Earth', 'Solar System']",science
2020-01-01,https://www.nytimes.com/interactive/2020/science/2020-astronomy-space-calendar.html,Sync your calendar with the solar system,"Never miss an eclipse, a meteor shower, a rocket launch or any other astronomical and space event that's out of this world.",multimedia,Interactive Feature,,"['Space and Astronomy', 'Moon', 'Eclipses', 'Seasons and Months', 'Solar System', 'Meteors and Meteorites']",science
2020-01-01,https://www.nytimes.com/2020/01/01/science/space-astronomy-2020.html,"Rocket Launches, Trips to Mars and More 2020 Space and Astronomy Events","A year full of highs and lows in space just ended, and the 12 months to come  will be full of new highlights in orbit and beyond.",article,News,,"['Space and Astronomy', 'Private Spaceflight', 'Rocket Science and Propulsion', 'Moon', 'Mars (Planet)', 'Sun', 'Mars 2020 (Mars Rover)', 'Satellites', 'International Space Station', 'Comets', 'Perseverance (Mars Rover)', 'Emirates Mars Mission', 'Tianwen-1 (Mars Mission)']",science
2020-01-01,https://www.nytimes.com/2020/01/01/arts/television/whats-on-tv-wednesday-a-linda-ronstadt-doc-and-doctor-who.html,What’s on TV Wednesday: A Linda Ronstadt Doc and ‘Doctor Who’,“Linda Ronstadt: The Sound of My Voice” airs on CNN. And a new season of “Doctor Who” kicks off on BBC America.,article,News,,"['Television', 'Movies']",arts
