date,headline,snippet,url
2020-01-01,‘Battling a Demon’: Drifter Sought Help Before Texas Church Shooting,"The gunman who shot two parishioners at the West Freeway Church of Christ had come earlier looking for food and money, church leaders said.",https://www.nytimes.com/2019/12/31/us/texas-church-shooting-white-settlement.html
2020-01-01,Protect Veterans From Fraud,Congress could do much more to protect Americans who have served their country from predatory for-profit colleges.,https://www.nytimes.com/2019/12/31/opinion/for-profit-college-veterans.html
2020-01-01,F.D.A. Plans to Ban Most E-Cigarette Flavors but Menthol,The tobacco and vaping industries and conservative allies intensively lobbied against a ban on popular flavored e-cigarettes.,https://www.nytimes.com/2019/12/31/health/e-cigarettes-flavor-ban-trump.html
2020-01-01,‘It’s Green and Slimy’,Christina Iverson and Jeff Chen ring in the New Year.,https://www.nytimes.com/2019/12/31/crosswords/daily-puzzle-2020-01-01.html
2020-01-01,"Corrections: Jan. 1, 2020","Corrections that appeared in print on Wednesday, Jan. 1, 2020.",https://www.nytimes.com/2019/12/31/pageoneplus/corrections-jan-1-2020.html
2020-01-01,Quotation of the Day: Ex-SEAL Now Pitching Products and President,"Quotation of the Day for Wednesday, January 1, 2020.",https://www.nytimes.com/2019/12/31/todayspaper/quotation-of-the-day-ex-seal-now-pitching-products-and-president.html
2020-01-01,Hospitals and Schools Are Being Bombed in Syria. A U.N. Inquiry Is Limited. We Took a Deeper Look.,Attacks on civilian sites in Syria have grown so frequent that the U.N. launched a rare inquiry to document the violations. But the investigation is limited in scope and the final report may not be made public. The New York Times did its own inves...,https://www.nytimes.com/interactive/2019/12/31/world/middleeast/syria-united-nations-investigation.html
2020-01-01,Hong Kong Protesters Return to Streets as New Year Begins,"Weeks of relative calm ended on Wednesday, as people marched in large numbers and the police deployed tear gas and pepper spray.",https://www.nytimes.com/2020/01/01/world/asia/hong-kong-protest.html
2020-01-01,Kevin Spacey Accuser’s Estate Drops Sexual Assault Lawsuit,"A Los Angeles County massage therapist, who died in September, had accused Mr. Spacey of groping him and making improper advances during a 2016 massage.",https://www.nytimes.com/2019/12/31/us/kevin-spacey-lawsuit-accuser.html
2020-01-01,Dizzying Day for Trump Caps a Year Full of Them,"The president monitored a Middle East crisis from his golf club, threatened Iran and implored reporters to be “honorable” in 2020.",https://www.nytimes.com/2019/12/31/us/politics/trump-new-years-eve.html
2020-01-01,Meteor Showers in 2020 That Will Light Up Night Skies,"All year long, Earth passes through streams of cosmic debris. Here’s a list of major meteor showers and how to spot one.",https://www.nytimes.com/2020/01/01/science/meteor-showers-2020.html
2020-01-01,Sync your calendar with the solar system,"Never miss an eclipse, a meteor shower, a rocket launch or any other astronomical and space event that's out of this world.",https://www.nytimes.com/interactive/2020/science/2020-astronomy-space-calendar.html
2020-01-01,"Rocket Launches, Trips to Mars and More 2020 Space and Astronomy Events","A year full of highs and lows in space just ended, and the 12 months to come  will be full of new highlights in orbit and beyond.",https://www.nytimes.com/2020/01/01/science/space-astronomy-2020.html
2020-01-01,What’s on TV Wednesday: A Linda Ronstadt Doc and ‘Doctor Who’,“Linda Ronstadt: The Sound of My Voice” airs on CNN. And a new season of “Doctor Who” kicks off on BBC America.,https://www.nytimes.com/2020/01/01/arts/television/whats-on-tv-wednesday-a-linda-ronstadt-doc-and-doctor-who.html
2020-01-01,How the U.S. Embassy in Iraq Became a Target,"After months of turmoil in Iraq, U.S. airstrikes against a pro-Iranian militia drew a backlash.",https://www.nytimes.com/2020/01/01/world/middleeast/iraq-embassy-iran.html
2020-01-01,10 Electric Vehicles to Watch,"Sales doubled in 2019, but the industry’s tipping point — severing ties to the gas pump — still lies ahead. These cars will help make that happen.",https://www.nytimes.com/2020/01/01/business/future-electric-cars-2020.html
2020-01-01,Why the Fires in Australia Are So Bad,"Bush fire season is nothing new to Australians, but this summer has been calamitous — and it’s far from over.",https://www.nytimes.com/2020/01/01/world/australia/fires.html
2020-01-01,Pro-Iranian Protesters End Siege of U.S. Embassy in Baghdad,"Iran’s ability to deploy militias to attack the American Embassy, with Iraqi support, made clear how much power it wields in Iraq.",https://www.nytimes.com/2020/01/01/world/middleeast/us-embassy-baghdad-iraq.html
2020-01-01,Judge John Hodgman on Uncle Money Bags,"If you brother-in-law wants to slip your son some moola, just make sure it ends up in the right place.",https://www.nytimes.com/2020/01/01/magazine/judge-john-hodgman-on-uncle-money-bags.html
2020-01-01,"She Felt Fine, but Her M.R.I. Showed Several Strokes. What Was Wrong?","After the 67-year-old woman fell at the airport, the left side of her body wouldn’t cooperate. The answer to her malady was found in her heart.",https://www.nytimes.com/2020/01/01/magazine/cardiac-tumor-papillary-fibroelastoma-diagnosis.html
2020-01-01,These Armenian Flatbreads Stuffed With Greens Are the Perfect Snack,"Tangy and juicy, filled with seasoned herbs and hearty leaves, jingalov hats are a joy to eat.",https://www.nytimes.com/2020/01/01/magazine/armenian-flatbreads-jingalov-hats-recipe.html
2020-01-01,"‘Don’t Believe a Word,’ a Look at Language and Power (and Why Dolphins Have Accents)","David Shariatmadari’s book delves into issues like grammar snobbery, quirks of human and animal speech, and the transformation of even the simplest words.",https://www.nytimes.com/2020/01/01/books/review-dont-believe-word-david-shariatmadari.html
2020-01-01,"Eat Better, Feel Better? Food Advice From the Year in Well","Intermittent fasting, drinking less alcohol and eating more oysters are some of the steps you can try.",https://www.nytimes.com/2020/01/01/well/eat/eat-better-feel-better-food-advice-from-the-year-in-well.html
2020-01-01,Can You Talk Your Way Out of a Life Sentence?,California is giving a second chance to thousands of inmates who had no hope of parole. But first they have to prove to a panel of strangers that they’ve truly changed.,https://www.nytimes.com/2020/01/01/magazine/prison-parole-california.html
2020-01-01,Poem: The Far Norway Maples,"From the poet's 10th book of poems, “Sight Lines,” selected as the National Book Award winner for poetry in 2019. ",https://www.nytimes.com/2020/01/01/magazine/poem-the-far-norway-maples.html
2020-01-01,New Year’s Resolution: Be More Honest,Embracing honesty changed my life. Maybe it can change yours.,https://www.nytimes.com/2020/01/01/well/new-years-resolution-be-more-honest.html
2020-01-01,No More Excuses Not to Exercise,Many people say they don’t have the time to work out. But most of us spend hours each day viewing screens.,https://www.nytimes.com/2020/01/01/well/move/exercise-physical-activity-workout-time.html
2020-01-01,New Cruise Ships to Set Sail for Antarctica,Interested in the southernmost continent? Here’s a roundup of some of the new ships and itineraries planned for the bucket-list destination.,https://www.nytimes.com/2020/01/01/travel/antarctica-cruises.html
2020-01-01,The Tech That Will Invade Our Lives in 2020,"From smart homes to ultrafast wireless speeds, here’s what to watch.",https://www.nytimes.com/2020/01/01/technology/personaltech/tech-trends-2020.html
2020-01-01,Inside the Fake Igloo Rooftop Wars,"Ahh, winter in New York City.",https://www.nytimes.com/2020/01/01/nyregion/igloos-nyc-bars-hotels.html
2020-01-01,Adam Driver Has Put Everything He’s Got Onscreen,"Just don’t ask him to explain. A likely best actor nominee for “Marriage Story,” he acknowledges that desire for validation, but it’s tricky: “It’s not separate from who I am.”",https://www.nytimes.com/2020/01/01/movies/adam-driver-marriage-story.html
2020-01-01,Couture Creations for Dancing Bodies,An exhibition at the Centre National du Costume de Scène in France considers the dialogue between the stage and the runway.,https://www.nytimes.com/2020/01/01/arts/dance/costumes-couturiers-de-la-danse.html
2020-01-01,"100 Years Ago, the Booziest January Suddenly Dried Up","In 1920, Prohibition went into effect, but America partied on.",https://www.nytimes.com/2020/01/01/us/100-years-ago-the-booziest-january-suddenly-dried-up.html
2020-01-01,Elizabeth Warren Isn’t Talking Much About ‘Medicare for All’ Anymore,"There are signs her campaign is seeking to calm fears about her health care proposal, including having small meetings with rural Iowa voters to explain her financing and transition plans.",https://www.nytimes.com/2020/01/01/us/politics/elizabeth-warren-medicare-for-all.html
2020-01-01,"Living In ... Bedminster, N.J.","For full-time residents who value their privacy, the president’s helicopters can be annoying. But the intrusion is usually short-lived.",https://www.nytimes.com/slideshow/2020/01/01/realestate/living-in-bedminster-nj.html
2020-01-01,"In a Homecoming Video Meant to Unite Campus, Almost Everyone Was White","The video was created to show off the University of Wisconsin. Instead, it set off a furor, and a reckoning over what it means to be a black student on campus.",https://www.nytimes.com/2020/01/01/us/university-of-wisconsin-race-video.html
2020-01-01,"Bedminster, N.J.: Horses, Golf and Presidential Visits","Residents of the Somerset County township, who span the economic spectrum, often find the helicopters annoying. But the intrusion is usually short-lived.",https://www.nytimes.com/2020/01/01/realestate/bedminster-nj-horses-golf-and-presidential-visits.html
2020-01-01,China Moves to Steady Its Slowing Economic Growth,The country’s central bank will in effect inject $115 billion into the financial system despite signs the economy has been improving.,https://www.nytimes.com/2020/01/01/business/economy/china-economy-reserve-requirement-ratio.html
2020-01-01,Pete Buttigieg’s Campaign Says It Raised $24.7 Million in the Fourth Quarter,"Mr. Buttigieg, who appears in strong position in Iowa with a month until the caucuses, continues to show fund-raising strength.",https://www.nytimes.com/2020/01/01/us/politics/pete-buttigieg-fundraising.html
2020-01-01,"The Work Diary of Anna Bond, Whose Work Includes … Making Diaries","In an iCal era, the co-founder of Rifle Paper Co., seller of stationery and home goods, still relies on physical planners (and the drive-through).",https://www.nytimes.com/2020/01/01/business/rifle-paper-co.html
2020-01-01,Pika-Who? How Pokémon Go Confused the Canadian Military,"“We should almost hire a 12-year-old to help us out with this,” an official wrote.",https://www.nytimes.com/2020/01/01/world/canada/pokemon-go-canada-military.html
2020-01-01,What Kim Jong-un’s Latest Threats Say About His Trump Strategy,"With an election and impeachment trial pending in the United States, North Korea’s leader added elements of caution in his threat of “shocking” action.",https://www.nytimes.com/2020/01/01/world/asia/north-korea-kim-trump.html
2020-01-01,Mexico Prison Fight Leaves at Least 16 Inmates Dead,Officials said several guns were found in the penitentiary.,https://www.nytimes.com/2020/01/01/world/americas/mexico-prison-fight.html
2020-01-01,"What You Get for $750,000","A brand-new cottage in Oxford, Miss.; 1967 modern-style home in Kansas City, Mo.; and a three-bedroom house with red-rock views in Sedona, Ariz.",https://www.nytimes.com/slideshow/2020/01/01/realestate/what-you-get-for-750000.html
2020-01-01,"$750,000 Homes in Mississippi, Missouri and Arizona","A brand-new cottage in Oxford, a 1967 modern-style home in Kansas City and a three-bedroom house with red-rock views in Sedona.",https://www.nytimes.com/2020/01/01/realestate/750000-homes-in-mississippi-missouri-and-arizona.html
2020-01-01,Netanyahu Seeks Immunity From Israeli Corruption Charges,"His request to Parliament is a rare move, and a potentially unpopular one, heading into a general election. But it could keep the Israeli leader out of court.",https://www.nytimes.com/2020/01/01/world/middleeast/israel-netanyahu-immunity.html
2020-01-01,Restored 19th-Century Elegance in Northwestern Spain,This estate in the Galicia region of Spain is on the market for $1.7 million.,https://www.nytimes.com/slideshow/2020/01/01/realestate/restored-19th-century-elegance-in-northwestern-spain.html
2020-01-01,House Hunting in Spain: A Historic Estate For Under $2 Million,"In Galicia, where the climate and the housing market are cooler, prices remain attractive to native and foreign buyers alike.",https://www.nytimes.com/2020/01/01/realestate/house-hunting-in-spain-a-historic-estate-for-under-2-million.html
2020-01-01,Pope Francis Apologizes After Slapping Away a Clinging Pilgrim,"As the pontiff greeted members of the public on New Year’s Eve, one woman grabbed his hand with both of hers. A video of the incident was shared widely online.",https://www.nytimes.com/2020/01/01/world/europe/pope-francis-slap-video.html
2020-01-01,Fearless Predictions for the N.B.A. in 2020,Breaking out the crystal roundball for some (almost) fearless predictions for the N.B.A. in 2020.,https://www.nytimes.com/2020/01/01/sports/basketball/fearless-predictions-for-the-nba-in-2020.html
2020-01-01,One Startling Scene: Tracy Letts in ‘Ford v Ferrari’,"The actor explains his thought process behind a high-speed drive that leaves his character, Henry Ford II, reeling — and then some.",https://www.nytimes.com/2020/01/01/movies/tracy-letts-ford-v-ferrari.html
2020-01-01,Simon Stone Faced the Unthinkable. He Thinks You Should Too.,"After a family tragedy, the Australian director found a home in the theater, creating harrowing updates of classics. His latest: “Medea” at the Brooklyn Academy of Music.",https://www.nytimes.com/2020/01/01/theater/simon-stone-medea-bam.html
2020-01-01,Reading ‘Us’ Through Its T-shirts,"With its star, Lupita Nyong’o, in awards contention this season, a look at the clothes that helped tell the story.",https://www.nytimes.com/2020/01/01/movies/us-jordan-peele-shirts.html
2020-01-01,"New Year, New Recipes","Indian butter chickpeas, mushroom Bourguignon, and more: Melissa Clark has seven new recipes to help you eat less meat in 2020.",https://www.nytimes.com/2020/01/01/dining/new-year-new-recipes.html
2020-01-01,Stories About Equality that Gave Us Hope in 2019,"At a time when hate crimes, inequality and white supremacy appear to be on the rise, these stories offered a little hope.",https://www.nytimes.com/2020/01/01/us/stories-about-equality-that-gave-us-hope-in-2019.html
2020-01-01,‘A Quiet Place Part II’ First Trailer: Why Is It So Noisy?,"Emily Blunt is back in a sequel to the 2018 horror hit directed by her husband, John Krasinski. Cilian Murphy and Djimon Hounsou are now part of the cast.",https://www.nytimes.com/2020/01/01/movies/a-quiet-place-part-ii-trailer.html
2020-01-01,North Korea Is Not Done Trolling Trump,Kim Jong-un just restarted his dance of death with America.,https://www.nytimes.com/2020/01/01/opinion/north-korea-nuclear-test.html
2020-01-01,"Flying Lanterns Probably Caused Zoo Fire in Germany, Police Say","The blaze burned down a primate enclosure, killing at least 30 animals. Three women told the police that they were sorry for using flying lanterns on New Year’s Eve.",https://www.nytimes.com/2020/01/01/world/europe/zoo-fire-krefeld-germany.html
2020-01-01,"Coaching Female Athletes, and Gender Inequality","Promoting women in these roles does not mean that we should denigrate the men in them, a reader says.",https://www.nytimes.com/2020/01/01/opinion/letters/women-athletes.html
2020-01-01,There Will Be Blood. And It Will Be in Your Face.,Some help — and commiseration — for all the heavy blushers out there.,https://www.nytimes.com/2020/01/01/style/self-care/how-to-stop-blushing.html
2020-01-01,Can Collectors: Nuisance or Public Service?,Readers offer different views of those who earn money by rummaging through trash bags to collect recyclables.,https://www.nytimes.com/2020/01/01/opinion/letters/canners-recyclables.html
2020-01-01,2020 Golden Globes Predictions: Which Movies Will Win?,"Split categories allow voters to spread the wealth, but who prevails when Quentin Tarantino, Martin Scorsese, and Bong Joon Ho compete?",https://www.nytimes.com/2020/01/01/movies/2020-golden-globes-predictions.html
2020-01-01,"Money, Rage and Love",How America parented in 2019.,https://www.nytimes.com/2020/01/01/parenting/money-rage-and-love.html
2020-01-01,Rethinking How We Choose Candidates,"Readers offer their suggestions for how to revamp the primary process, in response to a column by David Leonhardt.",https://www.nytimes.com/2020/01/01/opinion/letters/united-states-elections.html
