date,url,headline,doc_type,material_type,section,keywords
2020-01-01,https://www.nytimes.com/2019/12/31/us/texas-church-shooting-white-settlement.html,‘Battling a Demon’: Drifter Sought Help Before Texas Church Shooting,article,News,,"['Churches (Buildings)', 'Murders, Attempted Murders and Homicides']"
2020-01-01,https://www.nytimes.com/2019/12/31/opinion/for-profit-college-veterans.html,Protect Veterans From Fraud,article,Editorial,,"['Veterans', 'For-Profit Schools', 'Financial Aid (Education)', 'Frauds and Swindling', 'Colleges and Universities']"
2020-01-01,https://www.nytimes.com/2019/12/31/health/e-cigarettes-flavor-ban-trump.html,F.D.A. Plans to Ban Most E-Cigarette Flavors but Menthol,article,News,,"['E-Cigarettes', 'Recalls and Bans of Products', 'Menthol', 'Nicotine', 'Teenagers and Adolescence', 'Regulation and Deregulation of Industry', 'Smoking and Tobacco', 'Lobbying and Lobbyists', 'United States Politics and Government', 'your-feed-healthcare']"
2020-01-01,https://www.nytimes.com/2019/12/31/crosswords/daily-puzzle-2020-01-01.html,‘It’s Green and Slimy’,article,News,,['Crossword Puzzles']
2020-01-01,https://www.nytimes.com/2019/12/31/pageoneplus/corrections-jan-1-2020.html,"Corrections: Jan. 1, 2020",article,Correction,,[]
2020-01-01,https://www.nytimes.com/2019/12/31/todayspaper/quotation-of-the-day-ex-seal-now-pitching-products-and-president.html,Quotation of the Day: Ex-SEAL Now Pitching Products and President,article,Quote,,[]
2020-01-01,https://www.nytimes.com/interactive/2019/12/31/world/middleeast/syria-united-nations-investigation.html,Hospitals and Schools Are Being Bombed in Syria. A U.N. Inquiry Is Limited. We Took a Deeper Look.,multimedia,Interactive Feature,,"['Defense and Military Forces', 'Civilian Casualties']"
2020-01-01,https://www.nytimes.com/2020/01/01/world/asia/hong-kong-protest.html,Hong Kong Protesters Return to Streets as New Year Begins,article,News,,"['Demonstrations, Protests and Riots', 'Hong Kong Protests (2019)', 'New Year']"
2020-01-01,https://www.nytimes.com/2019/12/31/us/kevin-spacey-lawsuit-accuser.html,Kevin Spacey Accuser’s Estate Drops Sexual Assault Lawsuit,article,News,,"['Sexual Harassment', 'Suits and Litigation (Civil)', 'Movies', '#MeToo Movement', 'Television', 'ACTORS AND ACTRESSES', 'Massage', 'Sex Crimes', 'Academy Awards (Oscars)', 'Golden Globes (Awards)', 'Tony Awards (Theater Awards)']"
2020-01-01,https://www.nytimes.com/2019/12/31/us/politics/trump-new-years-eve.html,Dizzying Day for Trump Caps a Year Full of Them,article,News,,"['United States International Relations', 'United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']"
2020-01-01,https://www.nytimes.com/2020/01/01/science/meteor-showers-2020.html,Meteor Showers in 2020 That Will Light Up Night Skies,article,News,,"['Meteors and Meteorites', 'Space and Astronomy', 'Earth', 'Solar System']"
2020-01-01,https://www.nytimes.com/interactive/2020/science/2020-astronomy-space-calendar.html,Sync your calendar with the solar system,multimedia,Interactive Feature,,"['Space and Astronomy', 'Moon', 'Eclipses', 'Seasons and Months', 'Solar System', 'Meteors and Meteorites']"
2020-01-01,https://www.nytimes.com/2020/01/01/science/space-astronomy-2020.html,"Rocket Launches, Trips to Mars and More 2020 Space and Astronomy Events",article,News,,"['Space and Astronomy', 'Private Spaceflight', 'Rocket Science and Propulsion', 'Moon', 'Mars (Planet)', 'Sun', 'Mars 2020 (Mars Rover)', 'Satellites', 'International Space Station', 'Comets', 'Perseverance (Mars Rover)', 'Emirates Mars Mission', 'Tianwen-1 (Mars Mission)']"
2020-01-01,https://www.nytimes.com/2020/01/01/arts/television/whats-on-tv-wednesday-a-linda-ronstadt-doc-and-doctor-who.html,What’s on TV Wednesday: A Linda Ronstadt Doc and ‘Doctor Who’,article,News,,"['Television', 'Movies']"
2020-01-01,https://www.nytimes.com/2020/01/01/world/middleeast/iraq-embassy-iran.html,How the U.S. Embassy in Iraq Became a Target,article,News,,"['Politics and Government', 'United States International Relations', 'United States Defense and Military Forces', 'Defense and Military Forces', 'Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates', 'Corruption (Institutional)']"
2020-01-01,https://www.nytimes.com/2020/01/01/business/future-electric-cars-2020.html,10 Electric Vehicles to Watch,article,News,,"['Electric and Hybrid Vehicles', 'Automobile Service and Charging Stations', 'Batteries']"
2020-01-01,https://www.nytimes.com/2020/01/01/world/australia/fires.html,Why the Fires in Australia Are So Bad,article,News,,"['Fires and Firefighters', 'Wildfires', 'Global Warming']"
2020-01-01,https://www.nytimes.com/2020/01/01/world/middleeast/us-embassy-baghdad-iraq.html,Pro-Iranian Protesters End Siege of U.S. Embassy in Baghdad,article,News,,"['Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates', 'United States Defense and Military Forces', 'United States International Relations']"
2020-01-01,https://www.nytimes.com/2020/01/01/magazine/judge-john-hodgman-on-uncle-money-bags.html,Judge John Hodgman on Uncle Money Bags,article,News,,['Comedy and Humor']
2020-01-01,https://www.nytimes.com/2020/01/01/magazine/cardiac-tumor-papillary-fibroelastoma-diagnosis.html,"She Felt Fine, but Her M.R.I. Showed Several Strokes. What Was Wrong?",article,News,,"['Stroke', 'Brain', 'Heart', 'Medicine and Health']"
2020-01-01,https://www.nytimes.com/2020/01/01/magazine/armenian-flatbreads-jingalov-hats-recipe.html,These Armenian Flatbreads Stuffed With Greens Are the Perfect Snack,article,News,,"['Cooking and Cookbooks', 'Recipes']"
2020-01-01,https://www.nytimes.com/2020/01/01/books/review-dont-believe-word-david-shariatmadari.html,"‘Don’t Believe a Word,’ a Look at Language and Power (and Why Dolphins Have Accents)",article,Review,,"['Books and Literature', 'Language and Languages']"
2020-01-01,https://www.nytimes.com/2020/01/01/well/eat/eat-better-feel-better-food-advice-from-the-year-in-well.html,"Eat Better, Feel Better? Food Advice From the Year in Well",article,News,,"['Weight', 'Fasting', 'Diet and Nutrition']"
2020-01-01,https://www.nytimes.com/2020/01/01/magazine/prison-parole-california.html,Can You Talk Your Way Out of a Life Sentence?,article,News,,"['Prisons and Prisoners', 'Probation and Parole', 'Gangs', 'Sentences (Criminal)']"
2020-01-01,https://www.nytimes.com/2020/01/01/magazine/poem-the-far-norway-maples.html,Poem: The Far Norway Maples,article,News,,['Poetry and Poets']
2020-01-01,https://www.nytimes.com/2020/01/01/well/new-years-resolution-be-more-honest.html,New Year’s Resolution: Be More Honest,article,News,,[]
2020-01-01,https://www.nytimes.com/2020/01/01/well/move/exercise-physical-activity-workout-time.html,No More Excuses Not to Exercise,article,News,,"['Exercise', 'New Year', 'Leisure', 'Television', 'Time']"
2020-01-01,https://www.nytimes.com/2020/01/01/travel/antarctica-cruises.html,New Cruise Ships to Set Sail for Antarctica,article,News,,"['Cruises', 'Travel and Vacations', 'Eco-Tourism', 'Ice']"
2020-01-01,https://www.nytimes.com/2020/01/01/technology/personaltech/tech-trends-2020.html,The Tech That Will Invade Our Lives in 2020,article,News,,"['5G (Wireless Communications)', 'Computers and the Internet', 'Wearable Computing', 'Mobile Applications', 'Wireless Communications', 'Driverless and Semiautonomous Vehicles', 'Home Automation and Smart Homes', 'Television', 'International Consumer Electronics Show', 'Television Sets and Media Devices', 'Innovation']"
2020-01-01,https://www.nytimes.com/2020/01/01/nyregion/igloos-nyc-bars-hotels.html,Inside the Fake Igloo Rooftop Wars,article,News,,"['Bars and Nightclubs', 'Roofs']"
2020-01-01,https://www.nytimes.com/2020/01/01/movies/adam-driver-marriage-story.html,Adam Driver Has Put Everything He’s Got Onscreen,article,News,,"['Movies', 'ACTORS AND ACTRESSES', 'Gotham Independent Film Awards', 'Academy Awards (Oscars)']"
2020-01-01,https://www.nytimes.com/2020/01/01/arts/dance/costumes-couturiers-de-la-danse.html,Couture Creations for Dancing Bodies,article,News,,"['Dancing', 'Fashion and Apparel', 'Costumes']"
2020-01-01,https://www.nytimes.com/2020/01/01/us/100-years-ago-the-booziest-january-suddenly-dried-up.html,"100 Years Ago, the Booziest January Suddenly Dried Up",article,News,,"['Prohibition Era (1920-1933)', 'ALCOHOLIC BEVERAGES', 'Nineteen Hundred Twenties', 'Cocktails and Mixed Drinks']"
2020-01-01,https://www.nytimes.com/2020/01/01/us/politics/elizabeth-warren-medicare-for-all.html,Elizabeth Warren Isn’t Talking Much About ‘Medicare for All’ Anymore,article,News,,"['Presidential Election of 2020', 'Health Insurance and Managed Care', 'Primaries and Caucuses']"
2020-01-01,https://www.nytimes.com/slideshow/2020/01/01/realestate/living-in-bedminster-nj.html,"Living In ... Bedminster, N.J.",multimedia,Slideshow,,['Real Estate and Housing (Residential)']
2020-01-01,https://www.nytimes.com/2020/01/01/us/university-of-wisconsin-race-video.html,"In a Homecoming Video Meant to Unite Campus, Almost Everyone Was White",article,News,,"['Colleges and Universities', 'Race and Ethnicity', 'Whites', 'Discrimination', 'Black People', 'Blacks', 'Video Recordings, Downloads and Streaming']"
2020-01-01,https://www.nytimes.com/2020/01/01/realestate/bedminster-nj-horses-golf-and-presidential-visits.html,"Bedminster, N.J.: Horses, Golf and Presidential Visits",article,News,,['Real Estate and Housing (Residential)']
2020-01-01,https://www.nytimes.com/2020/01/01/business/economy/china-economy-reserve-requirement-ratio.html,China Moves to Steady Its Slowing Economic Growth,article,News,,"['Economic Conditions and Trends', 'Politics and Government', 'International Trade and World Market', 'Production']"
2020-01-01,https://www.nytimes.com/2020/01/01/us/politics/pete-buttigieg-fundraising.html,Pete Buttigieg’s Campaign Says It Raised $24.7 Million in the Fourth Quarter,article,News,,"['Campaign Finance', 'Presidential Election of 2020', 'United States Politics and Government']"
2020-01-01,https://www.nytimes.com/2020/01/01/business/rifle-paper-co.html,"The Work Diary of Anna Bond, Whose Work Includes … Making Diaries",article,News,,"['Design', 'Workplace Environment']"
2020-01-01,https://www.nytimes.com/2020/01/01/world/canada/pokemon-go-canada-military.html,Pika-Who? How Pokémon Go Confused the Canadian Military,article,News,,"['Defense and Military Forces', 'Military Bases and Installations', 'Pokemon (Fictional Characters)', 'Mobile Applications', 'Augmented Reality (Computers)']"
2020-01-01,https://www.nytimes.com/2020/01/01/world/asia/north-korea-kim-trump.html,What Kim Jong-un’s Latest Threats Say About His Trump Strategy,article,News,,"['United States International Relations', 'Nuclear Tests', 'Embargoes and Sanctions', 'Politics and Government', 'Nuclear Weapons']"
2020-01-01,https://www.nytimes.com/2020/01/01/world/americas/mexico-prison-fight.html,Mexico Prison Fight Leaves at Least 16 Inmates Dead,article,News,,"['Prisons and Prisoners', 'Deaths (Fatalities)', 'Drug Cartels', 'Demonstrations, Protests and Riots']"
2020-01-01,https://www.nytimes.com/slideshow/2020/01/01/realestate/what-you-get-for-750000.html,"What You Get for $750,000",multimedia,Slideshow,,['Real Estate and Housing (Residential)']
2020-01-01,https://www.nytimes.com/2020/01/01/realestate/750000-homes-in-mississippi-missouri-and-arizona.html,"$750,000 Homes in Mississippi, Missouri and Arizona",article,News,,['Real Estate and Housing (Residential)']
2020-01-01,https://www.nytimes.com/2020/01/01/world/middleeast/israel-netanyahu-immunity.html,Netanyahu Seeks Immunity From Israeli Corruption Charges,article,News,,"['Corruption (Institutional)', 'Immunity from Prosecution', 'Politics and Government', 'Elections']"
2020-01-01,https://www.nytimes.com/slideshow/2020/01/01/realestate/restored-19th-century-elegance-in-northwestern-spain.html,Restored 19th-Century Elegance in Northwestern Spain,multimedia,Slideshow,,['Real Estate and Housing (Residential)']
2020-01-01,https://www.nytimes.com/2020/01/01/realestate/house-hunting-in-spain-a-historic-estate-for-under-2-million.html,House Hunting in Spain: A Historic Estate For Under $2 Million,article,News,,['Real Estate and Housing (Residential)']
2020-01-01,https://www.nytimes.com/2020/01/01/world/europe/pope-francis-slap-video.html,Pope Francis Apologizes After Slapping Away a Clinging Pilgrim,article,News,,[]
2020-01-01,https://www.nytimes.com/2020/01/01/sports/basketball/fearless-predictions-for-the-nba-in-2020.html,Fearless Predictions for the N.B.A. in 2020,article,News,,['Basketball']
2020-01-01,https://www.nytimes.com/2020/01/01/movies/tracy-letts-ford-v-ferrari.html,One Startling Scene: Tracy Letts in ‘Ford v Ferrari’,article,News,,"['Movies', 'Academy Awards (Oscars)', 'ACTORS AND ACTRESSES']"
2020-01-01,https://www.nytimes.com/2020/01/01/theater/simon-stone-medea-bam.html,Simon Stone Faced the Unthinkable. He Thinks You Should Too.,article,News,,['Theater']
2020-01-01,https://www.nytimes.com/2020/01/01/movies/us-jordan-peele-shirts.html,Reading ‘Us’ Through Its T-shirts,article,News,,"['Movies', 'Academy Awards (Oscars)', 'Costumes']"
2020-01-01,https://www.nytimes.com/2020/01/01/dining/new-year-new-recipes.html,"New Year, New Recipes",article,News,,['Cooking and Cookbooks']
2020-01-01,https://www.nytimes.com/2020/01/01/us/stories-about-equality-that-gave-us-hope-in-2019.html,Stories About Equality that Gave Us Hope in 2019,article,News,,"['Race and Ethnicity', 'Asian-Americans', 'Religion and Belief', 'Native Americans', 'Theater']"
