,url
0,https://www.nytimes.com/2019/12/31/us/texas-church-shooting-white-settlement.html
1,https://www.nytimes.com/2019/12/31/opinion/for-profit-college-veterans.html
2,https://www.nytimes.com/2019/12/31/health/e-cigarettes-flavor-ban-trump.html
3,https://www.nytimes.com/2019/12/31/crosswords/daily-puzzle-2020-01-01.html
4,https://www.nytimes.com/2019/12/31/pageoneplus/corrections-jan-1-2020.html
5,https://www.nytimes.com/2019/12/31/todayspaper/quotation-of-the-day-ex-seal-now-pitching-products-and-president.html
6,https://www.nytimes.com/interactive/2019/12/31/world/middleeast/syria-united-nations-investigation.html
7,https://www.nytimes.com/2020/01/01/world/asia/hong-kong-protest.html
8,https://www.nytimes.com/2019/12/31/us/kevin-spacey-lawsuit-accuser.html
9,https://www.nytimes.com/2019/12/31/us/politics/trump-new-years-eve.html
10,https://www.nytimes.com/2020/01/01/science/meteor-showers-2020.html
11,https://www.nytimes.com/interactive/2020/science/2020-astronomy-space-calendar.html
12,https://www.nytimes.com/2020/01/01/science/space-astronomy-2020.html
13,https://www.nytimes.com/2020/01/01/arts/television/whats-on-tv-wednesday-a-linda-ronstadt-doc-and-doctor-who.html
14,https://www.nytimes.com/2020/01/01/world/middleeast/iraq-embassy-iran.html
15,https://www.nytimes.com/2020/01/01/business/future-electric-cars-2020.html
16,https://www.nytimes.com/2020/01/01/world/australia/fires.html
17,https://www.nytimes.com/2020/01/01/world/middleeast/us-embassy-baghdad-iraq.html
18,https://www.nytimes.com/2020/01/01/magazine/judge-john-hodgman-on-uncle-money-bags.html
19,https://www.nytimes.com/2020/01/01/magazine/cardiac-tumor-papillary-fibroelastoma-diagnosis.html
20,https://www.nytimes.com/2020/01/01/magazine/armenian-flatbreads-jingalov-hats-recipe.html
21,https://www.nytimes.com/2020/01/01/books/review-dont-believe-word-david-shariatmadari.html
22,https://www.nytimes.com/2020/01/01/well/eat/eat-better-feel-better-food-advice-from-the-year-in-well.html
23,https://www.nytimes.com/2020/01/01/magazine/prison-parole-california.html
24,https://www.nytimes.com/2020/01/01/magazine/poem-the-far-norway-maples.html
25,https://www.nytimes.com/2020/01/01/well/new-years-resolution-be-more-honest.html
26,https://www.nytimes.com/2020/01/01/well/move/exercise-physical-activity-workout-time.html
27,https://www.nytimes.com/2020/01/01/travel/antarctica-cruises.html
28,https://www.nytimes.com/2020/01/01/technology/personaltech/tech-trends-2020.html
29,https://www.nytimes.com/2020/01/01/nyregion/igloos-nyc-bars-hotels.html
30,https://www.nytimes.com/2020/01/01/movies/adam-driver-marriage-story.html
31,https://www.nytimes.com/2020/01/01/arts/dance/costumes-couturiers-de-la-danse.html
32,https://www.nytimes.com/2020/01/01/us/100-years-ago-the-booziest-january-suddenly-dried-up.html
33,https://www.nytimes.com/2020/01/01/us/politics/elizabeth-warren-medicare-for-all.html
34,https://www.nytimes.com/slideshow/2020/01/01/realestate/living-in-bedminster-nj.html
35,https://www.nytimes.com/2020/01/01/us/university-of-wisconsin-race-video.html
36,https://www.nytimes.com/2020/01/01/realestate/bedminster-nj-horses-golf-and-presidential-visits.html
37,https://www.nytimes.com/2020/01/01/business/economy/china-economy-reserve-requirement-ratio.html
38,https://www.nytimes.com/2020/01/01/us/politics/pete-buttigieg-fundraising.html
39,https://www.nytimes.com/2020/01/01/business/rifle-paper-co.html
40,https://www.nytimes.com/2020/01/01/world/canada/pokemon-go-canada-military.html
