,date,url,headline,articles,doc_type,material_type,section,keywords,label
0,2021-05-01,us,Three Colorado Officers Resign After Arrest of Woman With Dementia,body camera footage arrest karen garner draw widespread outrage video show officer laugh footage,article,News,,"['Police Brutality, Misconduct and Shootings', 'Suits and Litigation (Civil)', 'Dementia']",us
1,2021-05-01,politics,Manchin says he won’t support a D.C. statehood bill.,senator joe manchin iii democrat west virginia tell local news reporter believe make washington c state require constitutional amendment,article,News,,"['Statehood Movement for Washington, DC', 'United States Politics and Government']",politics
2,2021-05-01,arts,MoMA Blocks Protesters Who Planned to Demonstrate Inside,museum cite safety concern close door protester say moma caters much interest wealthy donor,article,News,,"['Museums', 'Demonstrations, Protests and Riots', 'Art']",arts
3,2021-05-01,us,"Eli Broad, Who Helped Reshape Los Angeles, Dies at 87",businessman make fortune home building insurance spend lavishly try make city cultural capital,article,Obituary (Obit),,"['Museums', 'Art', 'Deaths (Obituaries)', 'Philanthropy', 'Education (K-12)']",us
4,2021-05-01,us,"Corrections: May 1, 2021",correction appear print saturday,article,Correction,,[],us
5,2021-05-01,todayspaper,Quotation of the Day: Soul-Searching in Israel After Deadly Stampede at Religious Site,quotation day saturday,article,Quote,,[],todayspaper
6,2021-05-01,crosswords,Screwballs,fair love war ryan mccarty saturday puzzle,article,News,,"['Crossword Puzzles', 'Ties (Apparel)']",crosswords
7,2021-05-01,t-magazine,Looking for a Weekend Excursion? Try Craft Shop Hopping,wealth store studio connecticut upstate new york offer lovely handmade ware forever,article,News,,"['Ceramics and Pottery', 'Art', 'Quarantine (Life and Culture)', 'Handicrafts', 'Small Business', 'Content Type: Service']",t-magazine
8,2021-05-01,sports,Medina Spirit Wins the 147th Kentucky Derby,trainer bob baffert collect seventh derby victory favorite essential quality falter finish fourth,article,News,,"['Horse Racing', 'Kentucky Derby', 'Triple Crown (Horse Racing)', 'Jockeys, Drivers and Trainers', 'Doping (Sports)']",sports
9,2021-05-01,sports,Tom Brady Charted a New Path. Aaron Rodgers Struggles to Do the Same.,super bowl win quarterback brady rodgers russell wilson grow frustrate team nature n f l contract make hard scramble away brady ultimately succeed run clock,article,News,,"['Football', 'Free Agents (Sports)', 'Draft and Recruitment (Sports)']",sports
