,date,url,headline,articles,doc_type,material_type,section,keywords
0,2021-05-01,https://www.nytimes.com/2021/04/30/us/colorado-police-dementia.html,Three Colorado Officers Resign After Arrest of Woman With Dementia,"Body-camera footage of the arrest of Karen Garner has drawn widespread outrage, as has another video that showed officers laughing at the footage.",article,News,,"['Police Brutality, Misconduct and Shootings', 'Suits and Litigation (Civil)', 'Dementia']"
1,2021-05-01,https://www.nytimes.com/2021/04/30/us/politics/joe-manchin-washington-dc-statehood.html,Manchin says he won’t support a D.C. statehood bill.,"Senator Joe Manchin III, Democrat of West Virginia, told local news reporters that he believed making Washington, D.C., a state would require a constitutional amendment.",article,News,,"['Statehood Movement for Washington, DC', 'United States Politics and Government']"
2,2021-05-01,https://www.nytimes.com/2021/04/30/arts/moma-blocks-protesters-who-planned-to-demonstrate-inside.html,MoMA Blocks Protesters Who Planned to Demonstrate Inside,"The museum, citing safety concerns, closed its doors to the protesters who say MoMA caters too much to the interests of its wealthy donors.",article,News,,"['Museums', 'Demonstrations, Protests and Riots', 'Art']"
3,2021-05-01,https://www.nytimes.com/2021/04/30/us/eli-broad-dead.html,"Eli Broad, Who Helped Reshape Los Angeles, Dies at 87","The businessman, who made a fortune in home-building and insurance, spent lavishly to try to make the city a cultural capital.",article,Obituary (Obit),,"['Museums', 'Art', 'Deaths (Obituaries)', 'Philanthropy', 'Education (K-12)']"
4,2021-05-01,https://www.nytimes.com/2021/04/30/pageoneplus/corrections-may-1-2021.html,"Corrections: May 1, 2021","Corrections that appeared in print on Saturday, May 1, 2021.",article,Correction,,[]
5,2021-05-01,https://www.nytimes.com/2021/04/30/todayspaper/quotation-of-the-day-soul-searching-in-israel-after-deadly-stampede-at-religious-site.html,Quotation of the Day: Soul-Searching in Israel After Deadly Stampede at Religious Site,"Quotation of the Day for Saturday, May 1, 2021.",article,Quote,,[]
6,2021-05-01,https://www.nytimes.com/2021/04/30/crosswords/daily-puzzle-2021-05-01.html,Screwballs,"All’s fair in love, war and Ryan McCarty’s Saturday puzzle.",article,News,,"['Crossword Puzzles', 'Ties (Apparel)']"
7,2021-05-01,https://www.nytimes.com/2021/04/30/t-magazine/craft-shops-connecticut-new-york.html,Looking for a Weekend Excursion? Try Craft Shop Hopping,A wealth of stores and studios in Connecticut and upstate New York offer lovely handmade wares that you’ll have forever.,article,News,,"['Ceramics and Pottery', 'Art', 'Quarantine (Life and Culture)', 'Handicrafts', 'Small Business', 'Content Type: Service']"
8,2021-05-01,https://www.nytimes.com/2021/05/01/sports/horse-racing/medina-spirit-wins-kentucky-derby.html,Medina Spirit Wins the 147th Kentucky Derby,"The trainer Bob Baffert collected his seventh Derby victory while the favorite, Essential Quality, faltered and finished fourth.",article,News,,"['Horse Racing', 'Kentucky Derby', 'Triple Crown (Horse Racing)', 'Jockeys, Drivers and Trainers', 'Doping (Sports)']"
9,2021-05-01,https://www.nytimes.com/2021/05/01/sports/football/aaron-rodgers-trade-packers.html,Tom Brady Charted a New Path. Aaron Rodgers Struggles to Do the Same.,"When Super Bowl-winning quarterbacks like Brady, Rodgers and Russell Wilson grow frustrated with their teams, the nature of N.F.L. contracts makes it hard to scramble away. Brady ultimately succeeded by running out the clock.",article,News,,"['Football', 'Free Agents (Sports)', 'Draft and Recruitment (Sports)']"
