,date,category_id,category,headline,articles,url
0,2020-01-01,0,opinion,Protect Veterans From Fraud,congress  much protect american served country predatory profit college,https://www.nytimes.com/2019/12/31/opinion/for-profit-college-veterans.html
1,2020-01-01,1,world,Hospitals and Schools Are Being Bombed in Syria. A U.N. Inquiry Is Limited. We Took a Deeper Look.,attack civilian site syria grown frequent u n launch rare inquiry document violation investigation limit scope final report  make public new york time inves,https://www.nytimes.com/interactive/2019/12/31/world/middleeast/syria-united-nations-investigation.html
2,2020-01-01,1,world,Hong Kong Protesters Return to Streets as New Year Begins,week relative calm end wednesday people march large number police deploy  gas pepper spray,https://www.nytimes.com/2020/01/01/world/asia/hong-kong-protest.html
3,2020-01-01,2,politics,Dizzying Day for Trump Caps a Year Full of Them,president monitor middle east crisis golf club threaten iran implored reporter honorable ,https://www.nytimes.com/2019/12/31/us/politics/trump-new-years-eve.html
4,2020-01-01,3,arts,What’s on TV Wednesday: A Linda Ronstadt Doc and ‘Doctor Who’,linda ronstadt sound voice air cnn new season doctor kick bbc america,https://www.nytimes.com/2020/01/01/arts/television/whats-on-tv-wednesday-a-linda-ronstadt-doc-and-doctor-who.html
5,2020-01-01,1,world,How the U.S. Embassy in Iraq Became a Target,month turmoil iraq u airstrikes pro iranian militia draw backlash,https://www.nytimes.com/2020/01/01/world/middleeast/iraq-embassy-iran.html
6,2020-01-01,4,business,10 Electric Vehicles to Watch,sale double  industry tip point sever tie gas pump still lie ahead car help make happen,https://www.nytimes.com/2020/01/01/business/future-electric-cars-2020.html
7,2020-01-01,1,world,Why the Fires in Australia Are So Bad,bush fire season nothing new australian summer calamitous far,https://www.nytimes.com/2020/01/01/world/australia/fires.html
8,2020-01-01,1,world,Pro-Iranian Protesters End Siege of U.S. Embassy in Baghdad,iran ability deploy militia attack american embassy iraqi support make clear much power wields iraq,https://www.nytimes.com/2020/01/01/world/middleeast/us-embassy-baghdad-iraq.html
9,2020-01-01,3,arts,Couture Creations for Dancing Bodies,exhibition centre national du costume   france considers dialogue stage runway,https://www.nytimes.com/2020/01/01/arts/dance/costumes-couturiers-de-la-danse.html
10,2020-01-01,2,politics,Elizabeth Warren Isn’t Talking Much About ‘Medicare for All’ Anymore,sign campaign seek calm fear health care proposal include small meeting rural iowa voter explain finance transition plan,https://www.nytimes.com/2020/01/01/us/politics/elizabeth-warren-medicare-for-all.html
11,2020-01-01,4,business,China Moves to Steady Its Slowing Economic Growth,country central bank effect inject   financial system  sign economy improve,https://www.nytimes.com/2020/01/01/business/economy/china-economy-reserve-requirement-ratio.html
12,2020-01-01,2,politics,Pete Buttigieg’s Campaign Says It Raised $24.7 Million in the Fourth Quarter,mr buttigieg appear strong position iowa month caucus continue show fund raising strength,https://www.nytimes.com/2020/01/01/us/politics/pete-buttigieg-fundraising.html
13,2020-01-01,4,business,"The Work Diary of Anna Bond, Whose Work Includes … Making Diaries",ical era co founder rifle paper co seller stationery home good still rely physical planner drive,https://www.nytimes.com/2020/01/01/business/rifle-paper-co.html
14,2020-01-01,1,world,Pika-Who? How Pokémon Go Confused the Canadian Military,almost hire  year old help  official write,https://www.nytimes.com/2020/01/01/world/canada/pokemon-go-canada-military.html
15,2020-01-01,1,world,What Kim Jong-un’s Latest Threats Say About His Trump Strategy,election impeachment trial pending united state north korea leader add element caution threat shock action,https://www.nytimes.com/2020/01/01/world/asia/north-korea-kim-trump.html
16,2020-01-01,1,world,Mexico Prison Fight Leaves at Least 16 Inmates Dead,official say several gun find penitentiary,https://www.nytimes.com/2020/01/01/world/americas/mexico-prison-fight.html
17,2020-01-01,1,world,Netanyahu Seeks Immunity From Israeli Corruption Charges,request parliament rare move potentially unpopular  head general election  keep israeli leader court,https://www.nytimes.com/2020/01/01/world/middleeast/israel-netanyahu-immunity.html
18,2020-01-01,1,world,Pope Francis Apologizes After Slapping Away a Clinging Pilgrim,pontiff greet member public new year eve  woman grab hand video incident share widely online,https://www.nytimes.com/2020/01/01/world/europe/pope-francis-slap-video.html
19,2020-01-01,5,sports,Fearless Predictions for the N.B.A. in 2020,break crystal roundball almost fearless prediction  b ,https://www.nytimes.com/2020/01/01/sports/basketball/fearless-predictions-for-the-nba-in-2020.html
20,2020-01-01,0,opinion,North Korea Is Not Done Trolling Trump,kim jong un restart dance death america,https://www.nytimes.com/2020/01/01/opinion/north-korea-nuclear-test.html
21,2020-01-01,1,world,"Flying Lanterns Probably Caused Zoo Fire in Germany, Police Say",blaze burn primate enclosure kill least  animal  woman tell police sorry use fly lantern new year eve,https://www.nytimes.com/2020/01/01/world/europe/zoo-fire-krefeld-germany.html
22,2020-01-01,0,opinion,"Coaching Female Athletes, and Gender Inequality",promote woman role mean denigrate men reader say,https://www.nytimes.com/2020/01/01/opinion/letters/women-athletes.html
23,2020-01-01,0,opinion,Can Collectors: Nuisance or Public Service?,reader offer different view earn money rummage trash bag collect recyclables,https://www.nytimes.com/2020/01/01/opinion/letters/canners-recyclables.html
24,2020-01-01,0,opinion,Rethinking How We Choose Candidates,reader offer suggestion revamp primary process response column david leonhardt,https://www.nytimes.com/2020/01/01/opinion/letters/united-states-elections.html
25,2020-01-01,4,business,A Restaurant With No Leftovers,brooklyn wine bar restaurant  handful establishment different city try eliminate waste premise,https://www.nytimes.com/2020/01/01/business/zero-waste-restaurants.html
26,2020-01-01,2,politics,Trump Bet He Could Isolate Iran and Charm North Korea. It’s Not That Easy.,president assume economic lever  guide country national interest confronts twin challenge election year,https://www.nytimes.com/2020/01/01/us/politics/trump-iran-north-korea.html
27,2020-01-01,3,arts,Review: Anna Netrebko Rings in the Year With a Met Gala,company prima donna show past present future artistry act  puccini opera,https://www.nytimes.com/2020/01/01/arts/music/review-anna-netrebko-met-opera.html
28,2020-01-01,3,arts,"Woody Vasulka, Whose Video Art Extended Boundaries, Dies at 82",deftly manipulate electronic image produce otherworldly sometimes jar vision also found wife landmark performance space,https://www.nytimes.com/2020/01/01/arts/woody-vasulka-dead.html
29,2020-01-01,1,world,"Fazle Abed, Founder of a Leading Relief Agency, Dies at 83",mr abed give job senior executive multinational company start brac saw native land bangladesh devastate war,https://www.nytimes.com/2020/01/01/world/asia/fazle-hasan-abed-dead.html
30,2020-01-01,1,world,The Lesson of an Albanian Earthquake: The Balkans Aren’t Ready for the Big One,successive government fail address risk pose age building shoddy construction leave million vulnerable,https://www.nytimes.com/2020/01/01/world/europe/earthquake-albania-balkans.html
31,2020-01-01,0,opinion,Only You Can Prevent Dystopia,survive internet  go easy,https://www.nytimes.com/2020/01/01/opinion/social-media-2020.html
32,2020-01-01,0,opinion,Every Moment With My Son Is an Act of Creation,write book together,https://www.nytimes.com/2020/01/01/opinion/fatherhood-sons.html
33,2020-01-01,0,opinion,Shock Waves From American Airstrikes in Iraq May Have Just Begun,retaliation iran back militia set anti american protest  strengthen iran hand,https://www.nytimes.com/2020/01/01/opinion/iraq-embassy-iran.html
34,2020-01-01,5,sports,"David Stern, Transformative N.B.A. Commissioner, Dies at 77",marketing vision turn world premier professional basketball league global brand big star ambassador,https://www.nytimes.com/2020/01/01/sports/basketball/david-stern-dead.html
