,date,category_id,category,headline,articles,url
0,2020-01-01,0,opinion,Protect Veterans From Fraud,congress could much protect americans served country predatory profit colleges,https://www.nytimes.com/2019/12/31/opinion/for-profit-college-veterans.html
1,2020-01-01,1,world,Hospitals and Schools Are Being Bombed in Syria. A U.N. Inquiry Is Limited. We Took a Deeper Look.,attacks civilian sites syria grown frequent u n launched rare inquiry document violations investigation limited scope final report may made public new york times inves,https://www.nytimes.com/interactive/2019/12/31/world/middleeast/syria-united-nations-investigation.html
2,2020-01-01,1,world,Hong Kong Protesters Return to Streets as New Year Begins,weeks relative calm ended wednesday people marched large numbers police deployed tear gas pepper spray,https://www.nytimes.com/2020/01/01/world/asia/hong-kong-protest.html
3,2020-01-01,2,politics,Dizzying Day for Trump Caps a Year Full of Them,president monitored middle east crisis golf club threatened iran implored reporters honorable 2020,https://www.nytimes.com/2019/12/31/us/politics/trump-new-years-eve.html
4,2020-01-01,3,arts,What’s on TV Wednesday: A Linda Ronstadt Doc and ‘Doctor Who’,linda ronstadt sound voice airs cnn new season doctor kicks bbc america,https://www.nytimes.com/2020/01/01/arts/television/whats-on-tv-wednesday-a-linda-ronstadt-doc-and-doctor-who.html
5,2020-01-01,1,world,How the U.S. Embassy in Iraq Became a Target,months turmoil iraq u airstrikes pro iranian militia drew backlash,https://www.nytimes.com/2020/01/01/world/middleeast/iraq-embassy-iran.html
6,2020-01-01,4,business,10 Electric Vehicles to Watch,sales doubled 2019 industry tipping point severing ties gas pump still lies ahead cars help make happen,https://www.nytimes.com/2020/01/01/business/future-electric-cars-2020.html
7,2020-01-01,1,world,Why the Fires in Australia Are So Bad,bush fire season nothing new australians summer calamitous far,https://www.nytimes.com/2020/01/01/world/australia/fires.html
8,2020-01-01,1,world,Pro-Iranian Protesters End Siege of U.S. Embassy in Baghdad,iran ability deploy militias attack american embassy iraqi support made clear much power wields iraq,https://www.nytimes.com/2020/01/01/world/middleeast/us-embassy-baghdad-iraq.html
9,2020-01-01,3,arts,Couture Creations for Dancing Bodies,exhibition centre national du costume de scène france considers dialogue stage runway,https://www.nytimes.com/2020/01/01/arts/dance/costumes-couturiers-de-la-danse.html
10,2020-01-01,2,politics,Elizabeth Warren Isn’t Talking Much About ‘Medicare for All’ Anymore,signs campaign seeking calm fears health care proposal including small meetings rural iowa voters explain financing transition plans,https://www.nytimes.com/2020/01/01/us/politics/elizabeth-warren-medicare-for-all.html
11,2020-01-01,4,business,China Moves to Steady Its Slowing Economic Growth,country central bank effect inject 115 billion financial system despite signs economy improving,https://www.nytimes.com/2020/01/01/business/economy/china-economy-reserve-requirement-ratio.html
12,2020-01-01,2,politics,Pete Buttigieg’s Campaign Says It Raised $24.7 Million in the Fourth Quarter,mr buttigieg appears strong position iowa month caucuses continues show fund raising strength,https://www.nytimes.com/2020/01/01/us/politics/pete-buttigieg-fundraising.html
13,2020-01-01,4,business,"The Work Diary of Anna Bond, Whose Work Includes … Making Diaries",ical era co founder rifle paper co seller stationery home goods still relies physical planners drive,https://www.nytimes.com/2020/01/01/business/rifle-paper-co.html
14,2020-01-01,1,world,Pika-Who? How Pokémon Go Confused the Canadian Military,almost hire 12 year old help us official wrote,https://www.nytimes.com/2020/01/01/world/canada/pokemon-go-canada-military.html
15,2020-01-01,1,world,What Kim Jong-un’s Latest Threats Say About His Trump Strategy,election impeachment trial pending united states north korea leader added elements caution threat shocking action,https://www.nytimes.com/2020/01/01/world/asia/north-korea-kim-trump.html
16,2020-01-01,1,world,Mexico Prison Fight Leaves at Least 16 Inmates Dead,officials said several guns found penitentiary,https://www.nytimes.com/2020/01/01/world/americas/mexico-prison-fight.html
17,2020-01-01,1,world,Netanyahu Seeks Immunity From Israeli Corruption Charges,request parliament rare move potentially unpopular one heading general election could keep israeli leader court,https://www.nytimes.com/2020/01/01/world/middleeast/israel-netanyahu-immunity.html
18,2020-01-01,1,world,Pope Francis Apologizes After Slapping Away a Clinging Pilgrim,pontiff greeted members public new year eve one woman grabbed hand video incident shared widely online,https://www.nytimes.com/2020/01/01/world/europe/pope-francis-slap-video.html
19,2020-01-01,5,sports,Fearless Predictions for the N.B.A. in 2020,breaking crystal roundball almost fearless predictions n b 2020,https://www.nytimes.com/2020/01/01/sports/basketball/fearless-predictions-for-the-nba-in-2020.html
20,2020-01-01,0,opinion,North Korea Is Not Done Trolling Trump,kim jong un restarted dance death america,https://www.nytimes.com/2020/01/01/opinion/north-korea-nuclear-test.html
